,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence
1935,0.0186,0.613,200053.0,0.913,0.0,8.0,0.084,1.0,-4.26,102.524,4.0,0.0545,0.641
1936,0.00634,0.344,222560.0,0.92,0.0,1.0,0.0816,0.0,-5.122,115.727,4.0,0.0487,0.505
1937,0.649,0.412,347587.0,0.254,0.00124,9.0,0.0841,0.0,-17.448,168.068,4.0,0.0964,0.332
1938,0.0341,0.817,308085.0,0.562,9.98e-06,1.0,0.0576,1.0,-7.329,140.967,4.0,0.0523,0.769
1939,0.562,0.714,204760.0,0.418,0.0,1.0,0.741,1.0,-8.093,125.902,4.0,0.0317,0.333
1940,0.499,0.761,141733.0,0.425,2.02e-06,8.0,0.0596,1.0,-12.941,88.275,4.0,0.211,0.879
1941,0.0308,0.841,201000.0,0.481,0.000515,0.0,0.0896,0.0,-7.188,139.574,4.0,0.387,0.341
1942,0.767,0.83,187755.0,0.482,0.0,3.0,0.131,1.0,-9.063,104.717,4.0,0.202,0.741
1943,0.000261,0.418,289870.0,0.862,0.0,11.0,0.129,1.0,-3.239,94.476,4.0,0.0451,0.258
1944,0.475,0.599,228467.0,0.533,0.00153,9.0,0.235,0.0,-14.032,122.262,4.0,0.0472,0.607
1945,2.21e-05,0.519,203111.0,0.913,0.0163,8.0,0.248,1.0,-2.775,75.004,4.0,0.0495,0.716
1946,0.0995,0.66,204027.0,0.456,0.0,1.0,0.129,1.0,-12.812,80.415,4.0,0.033,0.216
1947,0.857,0.443,173338.0,0.47,0.929,8.0,0.0901,0.0,-8.876,146.294,4.0,0.0314,0.0859
1948,0.223,0.4,278520.0,0.754,0.0,7.0,0.527,1.0,-5.955,146.475,4.0,0.0885,0.248
1949,0.511,0.593,237547.0,0.365,0.0,9.0,0.139,1.0,-6.407,98.345,4.0,0.0252,0.159
1950,0.0312,0.467,230787.0,0.631,0.0,5.0,0.0596,0.0,-6.762,139.962,4.0,0.0318,0.3
1951,0.0107,0.432,170587.0,0.934,0.0,6.0,0.369,0.0,-2.124,158.02,4.0,0.0926,0.615
1952,0.648,0.492,179293.0,0.37,3.58e-05,4.0,0.178,1.0,-7.818,145.939,4.0,0.0369,0.252
1953,0.000942,0.495,187920.0,0.793,8.29e-06,6.0,0.0791,1.0,-5.696,125.998,4.0,0.03,0.672
1954,0.554,0.622,153913.0,0.829,0.0,7.0,0.0743,1.0,-5.406,165.044,3.0,0.2,0.72
1955,0.0506,0.663,195240.0,0.844,0.0,2.0,0.364,1.0,-3.672,140.041,4.0,0.0487,0.378
1956,0.17,0.407,199707.0,0.923,0.0,4.0,0.112,1.0,-4.884,200.005,4.0,0.131,0.515
1957,0.0112,0.464,211840.0,0.923,0.0,0.0,0.229,0.0,-4.015,99.012,4.0,0.0467,0.799
1958,0.128,0.51,249520.0,0.914,0.459,10.0,0.466,1.0,-5.512,109.97,4.0,0.0309,0.332
1959,0.0477,0.596,195373.0,0.803,0.0,2.0,0.0831,1.0,-6.684,76.02,4.0,0.638,0.696
1960,0.00486,0.689,299693.0,0.613,0.0,6.0,0.0533,1.0,-4.795,108.008,4.0,0.027,0.36
1961,0.226,0.692,373987.0,0.773,0.0104,6.0,0.108,1.0,-3.739,139.989,4.0,0.0359,0.486
1962,0.00598,0.674,189120.0,0.85,0.0,3.0,0.0837,0.0,-4.668,124.031,4.0,0.0595,0.73
1963,0.907,0.409,168480.0,0.435,7.17e-06,2.0,0.0559,1.0,-9.399,78.136,4.0,0.0453,0.567
