,Track_ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence
87,6vc2Jq2vaGu8z326kSrw92,69,0.00681,0.826,187133.0,0.612,0.0,1.0,0.0889,1.0,-3.891,120.057,4.0,0.0982,0.756
88,3bMNprrp2JDKZsGbiXpsJl,67,0.172,0.624,216933.0,0.723,0.0,1.0,0.483,1.0,-6.782,84.789,4.0,0.378,0.757
89,6DkXLzBQT7cwXmTyzAB1DJ,71,0.182,0.689,263173.0,0.784,0.0,2.0,0.0843,1.0,-2.972,99.954,4.0,0.074,0.561
90,3JTMWdhcJPiegDSe7SvZS3,71,0.0078,0.71,194253.0,0.68,0.0165,1.0,0.0493,1.0,-4.676,129.971,4.0,0.106,0.571
91,2G8PweZBBwTpyP8vpNQJK2,67,0.0017,0.531,268480.0,0.984,1.13e-05,3.0,0.361,0.0,-3.767,107.036,4.0,0.0652,0.386
92,3Q8zopc4ABXhysDb1sgLVW,67,0.0139,0.477,199013.0,0.917,0.0,2.0,0.0756,1.0,-3.399,160.021,4.0,0.0814,0.267
93,4sNwdacKyi2S26WrRtNama,71,0.0539,0.77,182587.0,0.896,0.0,0.0,0.243,1.0,-3.971,126.999,4.0,0.039,0.964
94,2A5YAFeEwGi7KlGMYRf5dX,76,0.578,0.553,107703.0,0.798,0.0,10.0,0.599,1.0,-5.992,103.948,4.0,0.109,0.378
95,4UEo1b0wWrtHMC8bVqPiH8,71,0.000318,0.554,374453.0,0.949,9.98e-05,2.0,0.2,1.0,-4.928,129.984,4.0,0.0787,0.233
96,6lKRMylSZMtA7EqPl0pcdI,69,0.303,0.669,198960.0,0.712,0.0,0.0,0.0755,1.0,-4.992,124.009,4.0,0.0412,0.843
97,6ebkx7Q5tTxrCxKq4GYj0Y,75,0.0283,0.616,234560.0,0.869,0.0,0.0,0.064,1.0,-3.911,127.966,4.0,0.0327,0.473
98,2qPUnoasNe4Ep43emVXEig,73,0.297,0.633,211160.0,0.673,0.0,6.0,0.206,0.0,-6.403,86.776,4.0,0.258,0.659
99,0grFc6klR3hxoHLcgCYsF4,65,0.028,0.705,191800.0,0.735,0.0783,11.0,0.112,1.0,-6.646,132.627,4.0,0.0931,0.448
100,03xWMkKEbeO4SnylA53ipj,69,0.112,0.673,152333.0,0.42,0.0,4.0,0.0897,1.0,-7.581,108.066,4.0,0.0317,0.385
101,5yEPktRqvIhko5QFF3aBhQ,65,0.452,0.568,237733.0,0.761,0.0,4.0,0.217,1.0,-3.987,163.974,4.0,0.0459,0.789
102,2TyjVO7KBdGHBvQxAnFFsa,68,0.154,0.657,157540.0,0.845,0.0,11.0,0.294,1.0,-4.57,89.835,4.0,0.3,0.706
